,Coherence,POS:ADJ,POS:ADP,POS:ADV,POS:AUX,POS:CCONJ,POS:DET,POS:INTJ,POS:NOUN,POS:NUM,POS:PART,POS:PRON,POS:PROPN,POS:PUNCT,POS:SCONJ,POS:SPACE,POS:SYM,POS:VERB,POS:X,open_closed_ratio,propositional_density,n_logical_operators,type_token_ratio,n_words,log10_freq_mean,semantic_diversity_mean,semantic_thematic_similarity,surprisal,coref_local,coref_global,n_constituents,mean_np_length,mean_vp_length
0,4,0.044534412955465584,0.06477732793522267,0.07692307692307693,0.06882591093117409,0.020242914979757085,0.0931174089068826,0.0,0.1417004048582996,0.008097165991902834,0.02834008097165992,0.1659919028340081,0.012145748987854251,0.12550607287449392,0.024291497975708502,0.0,0.0,0.12550607287449392,0.0,0.8205128205128205,0.3562753036437247,4.0,0.6095238095238096,210.0,4.682791866028708,2.1079787234042553,0.1981845948241047,4.895232166562762,0.55,0.43333333333333335,152.0,2.3544303797468356,4.63265306122449
1,5,0.04304635761589404,0.076158940397351,0.076158940397351,0.059602649006622516,0.026490066225165563,0.076158940397351,0.0,0.10927152317880795,0.009933774834437087,0.04304635761589404,0.16225165562913907,0.033112582781456956,0.12582781456953643,0.016556291390728478,0.0,0.0,0.1423841059602649,0.0,0.7887323943661971,0.38079470198675497,7.0,0.53515625,256.0,4.666692125984253,2.0695852534562214,0.1925924893431551,4.108494699001312,0.6842105263157895,0.7052631578947368,196.0,2.5161290322580645,7.161764705882353
2,5,0.05405405405405406,0.0918918918918919,0.055135135135135134,0.06054054054054054,0.022702702702702703,0.07783783783783783,0.002162162162162162,0.13945945945945945,0.00972972972972973,0.025945945945945945,0.10378378378378378,0.05297297297297297,0.15243243243243243,0.02810810810810811,0.0,0.0,0.12324324324324325,0.0,0.8797953964194374,0.37513513513513513,18.0,0.5092348284960422,758.0,4.396346796657381,2.1028808446455507,0.18018148143691992,5.146195744646007,0.29310344827586204,0.18819403857393338,599.0,3.0945945945945947,7.6502732240437155
3,4,0.07180570221752904,0.08025343189017951,0.06969376979936642,0.0559662090813094,0.030623020063357972,0.08025343189017951,0.0010559662090813093,0.16578669482576558,0.013727560718057022,0.021119324181626188,0.11932418162618796,0.024287222808870117,0.14149947201689547,0.007391763463569166,0.0,0.0,0.11721224920802534,0.0,1.0360824742268042,0.37697993664202745,30.0,0.49261083743842365,812.0,4.4218165,2.076898817345598,0.1768160317794414,5.522681922912597,0.17567567567567569,0.1398198198198198,546.0,3.0105263157894737,6.1686046511627906
4,5,0.03333333333333333,0.03888888888888889,0.03333333333333333,0.06111111111111111,0.044444444444444446,0.09444444444444444,0.0,0.17777777777777778,0.016666666666666666,0.016666666666666666,0.15,0.005555555555555556,0.1388888888888889,0.03333333333333333,0.0,0.0,0.15555555555555556,0.0,0.8780487804878049,0.3388888888888889,9.0,0.5935483870967742,155.0,4.596490131578948,2.0648920863309357,0.1610922894835698,4.702587929638949,0.6,0.5454545454545454,123.0,2.484375,6.775
5,5,0.05227655986509275,0.09274873524451939,0.06408094435075885,0.04047217537942664,0.023608768971332208,0.07251264755480608,0.0,0.15851602023608768,0.003372681281618887,0.03709949409780776,0.1551433389544688,0.01011804384485666,0.12310286677908938,0.023608768971332208,0.0,0.0,0.1433389544688027,0.0,0.9323308270676691,0.3996627318718381,13.0,0.5396825396825397,504.0,4.477554690618763,2.07978354978355,0.17396854656289903,4.76213359221434,0.41025641025641024,0.2923076923076923,369.0,2.4293785310734464,8.383333333333333
6,3,0.017543859649122806,0.1608187134502924,0.038011695906432746,0.011695906432748537,0.02631578947368421,0.1111111111111111,0.0,0.195906432748538,0.008771929824561403,0.005847953216374269,0.12280701754385964,0.023391812865497075,0.12573099415204678,0.014619883040935672,0.0,0.0,0.13742690058479531,0.0,0.8417721518987342,0.39473684210526316,9.0,0.35353535353535354,297.0,4.502659655172414,2.030262172284645,0.14110283560977124,4.742385739865511,0.5909090909090909,0.5177865612648221,237.0,2.6666666666666665,8.26984126984127
7,4,0.04442148760330578,0.09090909090909091,0.0371900826446281,0.06818181818181818,0.030991735537190084,0.10640495867768596,0.002066115702479339,0.13119834710743802,0.0030991735537190084,0.023760330578512397,0.13739669421487602,0.03202479338842975,0.1353305785123967,0.025826446280991736,0.0,0.0,0.13119834710743802,0.0,0.7040169133192389,0.3605371900826446,27.0,0.3942307692307692,832.0,4.691352109181142,2.101792207792208,0.19950392884774165,4.770573228597641,0.4444444444444444,0.27380952380952384,639.0,2.8855218855218854,7.3238095238095235
8,4,0.06308169596690796,0.08479834539813857,0.05377456049638056,0.047569803516028956,0.03516028955532575,0.07135470527404343,0.0,0.16959669079627715,0.004136504653567736,0.025853154084798345,0.14788004136504654,0.008273009307135471,0.12409513960703206,0.02171664943123061,0.0,0.0,0.14270941054808686,0.0,0.9787735849056604,0.4012409513960703,35.0,0.47030878859857483,842.0,4.392569295101553,2.0690391908975982,0.18662462541005678,4.988623134295145,0.3,0.22459016393442624,612.0,3.443708609271523,7.547738693467337
9,4,0.03636363636363636,0.09696969696969697,0.024242424242424242,0.048484848484848485,0.024242424242424242,0.08484848484848485,0.0,0.14545454545454545,0.0,0.030303030303030304,0.18181818181818182,0.012121212121212121,0.12727272727272726,0.012121212121212121,0.0,0.0,0.17575757575757575,0.0,0.7974683544303798,0.3696969696969697,3.0,0.6363636363636364,143.0,4.753554545454545,2.0788281250000002,0.15735703307854118,4.142573746767911,0.7,0.6545454545454545,120.0,2.392857142857143,6.5813953488372094
