,Coherence,POS:ADJ,POS:ADP,POS:ADV,POS:AUX,POS:CCONJ,POS:DET,POS:INTJ,POS:NOUN,POS:NUM,POS:PART,POS:PRON,POS:PROPN,POS:PUNCT,POS:SCONJ,POS:SPACE,POS:SYM,POS:VERB,POS:X,open_closed_ratio,propositional_density,n_utterances,n_words_per_utterance,n_logical_operators,log10_freq_mean,semantic_diversity_mean,aoa_mean,concreteness_mean,semantic_thematic_distance,surprisal,type_token_ratio,n_words
0,3,0.044534412955465584,0.06477732793522267,0.07692307692307693,0.06882591093117409,0.020242914979757085,0.0931174089068826,0.0,0.1417004048582996,0.008097165991902834,0.02834008097165992,0.1659919028340081,0.012145748987854251,0.12550607287449392,0.024291497975708502,0.0,0.0,0.12550607287449392,0.0,0.8205128205128205,0.3562753036437247,21.0,10.0,4.0,4.682791866028708,2.1079787234042553,4.616220930232558,2.597958115183246,0.1981845948241047,4.895232166562762,0.6095238095238096,210.0
1,4,0.04304635761589404,0.076158940397351,0.076158940397351,0.059602649006622516,0.026490066225165563,0.076158940397351,0.0,0.10927152317880795,0.009933774834437087,0.04304635761589404,0.16225165562913907,0.033112582781456956,0.12582781456953643,0.016556291390728478,0.0,0.0,0.1423841059602649,0.0,0.7887323943661971,0.38079470198675497,21.0,12.19047619047619,7.0,4.666692125984253,2.0695852534562214,4.60625,2.6158333333333337,0.19539821127322143,4.183853089809418,0.53515625,256.0
2,4,0.05405405405405406,0.0918918918918919,0.055135135135135134,0.06054054054054054,0.022702702702702703,0.07783783783783783,0.002162162162162162,0.13945945945945945,0.00972972972972973,0.025945945945945945,0.10378378378378378,0.05297297297297297,0.15243243243243243,0.02810810810810811,0.0,0.0,0.12324324324324325,0.0,0.8797953964194374,0.37513513513513513,82.0,9.24390243902439,17.0,4.396346796657381,2.1028808446455507,5.34735674676525,2.420347003154574,0.1805486764523897,5.146195744646007,0.5092348284960422,758.0
3,4,0.07180570221752904,0.08025343189017951,0.06969376979936642,0.0559662090813094,0.030623020063357972,0.08025343189017951,0.0010559662090813093,0.16578669482576558,0.013727560718057022,0.021119324181626188,0.11932418162618796,0.024287222808870117,0.14149947201689547,0.007391763463569166,0.0,0.0,0.11721224920802534,0.0,1.0360824742268042,0.37697993664202745,86.0,9.44186046511628,30.0,4.4218165,2.076898817345598,5.1359047619047615,2.6738493150684928,0.1781479873558363,5.596125008265178,0.49261083743842365,812.0
4,5,0.03333333333333333,0.03888888888888889,0.03333333333333333,0.06111111111111111,0.044444444444444446,0.09444444444444444,0.0,0.17777777777777778,0.016666666666666666,0.016666666666666666,0.15,0.005555555555555556,0.1388888888888889,0.03333333333333333,0.0,0.0,0.15555555555555556,0.0,0.8780487804878049,0.3388888888888889,11.0,14.090909090909092,9.0,4.596490131578948,2.0648920863309357,5.063813559322033,2.591142857142857,0.16187865771644283,4.702587929638949,0.5935483870967742,155.0
5,5,0.05227655986509275,0.09274873524451939,0.06408094435075885,0.04047217537942664,0.023608768971332208,0.07251264755480608,0.0,0.15851602023608768,0.003372681281618887,0.03709949409780776,0.1551433389544688,0.01011804384485666,0.12310286677908938,0.023608768971332208,0.0,0.0,0.1433389544688027,0.0,0.9323308270676691,0.3996627318718381,41.0,12.292682926829269,13.0,4.477554690618763,2.07978354978355,5.02142156862745,2.588963963963964,0.17366887839767625,4.755040236008473,0.5396825396825397,504.0
6,3,0.017543859649122806,0.1608187134502924,0.038011695906432746,0.011695906432748537,0.02631578947368421,0.1111111111111111,0.0,0.195906432748538,0.008771929824561403,0.005847953216374269,0.12280701754385964,0.023391812865497075,0.12573099415204678,0.014619883040935672,0.0,0.0,0.13742690058479531,0.0,0.8417721518987342,0.39473684210526316,25.0,11.88,9.0,4.502659655172414,2.030262172284645,4.571880341880342,2.818969465648855,0.14413592720176188,4.539182272824374,0.35353535353535354,297.0
7,4,0.04442148760330578,0.09090909090909091,0.0371900826446281,0.06818181818181818,0.030991735537190084,0.10640495867768596,0.002066115702479339,0.13119834710743802,0.0030991735537190084,0.023760330578512397,0.13739669421487602,0.03202479338842975,0.1353305785123967,0.025826446280991736,0.0,0.0,0.13119834710743802,0.0,0.7040169133192389,0.3605371900826446,76.0,10.947368421052632,26.0,4.691352109181142,2.101792207792208,4.821648351648351,2.54889035667107,0.19918265803239477,4.851419530808926,0.3942307692307692,832.0
8,4,0.06308169596690796,0.08479834539813857,0.05377456049638056,0.047569803516028956,0.03516028955532575,0.07135470527404343,0.0,0.16959669079627715,0.004136504653567736,0.025853154084798345,0.14788004136504654,0.008273009307135471,0.12409513960703206,0.02171664943123061,0.0,0.0,0.14270941054808686,0.0,0.9787735849056604,0.4012409513960703,58.0,14.517241379310345,35.0,4.392569295101553,2.0690391908975982,5.244015037593985,2.605344603381014,0.18729663528321552,4.968068239981668,0.47030878859857483,842.0
9,4,0.03636363636363636,0.09696969696969697,0.024242424242424242,0.048484848484848485,0.024242424242424242,0.08484848484848485,0.0,0.14545454545454545,0.0,0.030303030303030304,0.18181818181818182,0.012121212121212121,0.12727272727272726,0.012121212121212121,0.0,0.0,0.17575757575757575,0.0,0.7974683544303798,0.3696969696969697,11.0,13.0,3.0,4.753554545454545,2.0788281250000002,4.580431034482759,2.6843703703703703,0.15958669027840755,4.142573746767911,0.6363636363636364,143.0
10,4,0.028089887640449437,0.05056179775280899,0.07303370786516854,0.028089887640449437,0.03932584269662921,0.03932584269662921,0.0,0.15168539325842698,0.011235955056179775,0.033707865168539325,0.19662921348314608,0.0,0.12359550561797752,0.033707865168539325,0.0,0.0,0.19101123595505617,0.0,1.025974025974026,0.4157303370786517,8.0,19.5,7.0,4.410855555555555,2.0460000000000003,4.582743362831859,2.879097744360903,0.15495440007551856,4.662936627864838,0.5576923076923077,156.0
11,5,0.0670807453416149,0.09565217391304348,0.06335403726708075,0.05217391304347826,0.02608695652173913,0.07204968944099378,0.0037267080745341614,0.1639751552795031,0.011180124223602485,0.018633540372670808,0.115527950310559,0.03354037267080745,0.1453416149068323,0.017391304347826087,0.0,0.002484472049689441,0.11180124223602485,0.0,0.9849397590361446,0.3813664596273292,59.0,11.59322033898305,22.0,4.46026824925816,2.084585289514867,5.373847619047619,2.459064039408867,0.18422897976004385,4.894116183544727,0.48830409356725146,684.0
12,5,0.048654244306418216,0.08281573498964803,0.061076604554865424,0.049689440993788817,0.032091097308488616,0.07660455486542443,0.010351966873706004,0.12525879917184266,0.010351966873706004,0.032091097308488616,0.14285714285714285,0.024844720496894408,0.15113871635610765,0.020703933747412008,0.0,0.0,0.13146997929606624,0.0,0.8009049773755657,0.37681159420289856,89.0,8.955056179775282,29.0,4.77275911392405,2.1004172274562585,4.72859649122807,2.565348506401138,0.2308463693510334,4.840526597840445,0.41656210790464243,797.0
13,3,0.056782334384858045,0.09779179810725552,0.031545741324921134,0.06309148264984227,0.03785488958990536,0.07886435331230283,0.006309148264984227,0.1608832807570978,0.006309148264984227,0.022082018927444796,0.1892744479495268,0.0,0.08201892744479496,0.00946372239747634,0.0,0.0,0.15772870662460567,0.0,0.7962962962962963,0.3911671924290221,18.0,16.0,12.0,4.607034494773519,2.0630739299610896,4.671964285714286,2.7131698113207547,0.16304972042875274,4.783080988460117,0.5659722222222222,288.0
14,4,0.033942558746736295,0.09138381201044386,0.06005221932114883,0.028720626631853787,0.02610966057441253,0.0731070496083551,0.007832898172323759,0.13577023498694518,0.007832898172323759,0.02349869451697128,0.1462140992167102,0.005221932114882507,0.18798955613577023,0.018276762402088774,0.0,0.0,0.1514360313315927,0.0026109660574412533,0.9012345679012346,0.381201044386423,57.0,5.333333333333333,9.0,4.651022112211221,2.082565055762082,4.616550387596899,2.8237362637362637,0.17955399042693898,5.44633029728401,0.569078947368421,304.0
15,4,0.07448275862068965,0.08137931034482758,0.05517241379310345,0.07724137931034483,0.016551724137931035,0.09241379310344827,0.005517241379310344,0.15310344827586206,0.005517241379310344,0.030344827586206897,0.10896551724137932,0.015172413793103448,0.11862068965517242,0.028965517241379312,0.0,0.0,0.13655172413793104,0.0,0.9382716049382716,0.3931034482758621,67.0,9.343283582089553,11.0,4.52318338658147,2.0736813186813188,5.006666666666667,2.5216578483245145,0.18043440495737484,5.127495416954382,0.4840255591054313,626.0
16,4,0.06818181818181818,0.09710743801652892,0.05785123966942149,0.060950413223140494,0.04442148760330578,0.08884297520661157,0.0,0.16322314049586778,0.008264462809917356,0.029958677685950414,0.11880165289256199,0.013429752066115703,0.10950413223140495,0.03305785123966942,0.0,0.0,0.10640495867768596,0.0,0.8218884120171673,0.40702479338842973,51.0,16.725490196078432,46.0,4.4316231404958675,2.108436724565757,5.259078549848942,2.467862796833773,0.18863074656624898,4.999351228986468,0.4525205158264947,853.0
17,4,0.05844155844155844,0.08441558441558442,0.03896103896103896,0.07792207792207792,0.01948051948051948,0.032467532467532464,0.012987012987012988,0.15584415584415584,0.0,0.025974025974025976,0.12987012987012986,0.05194805194805195,0.19480519480519481,0.012987012987012988,0.0,0.0,0.1038961038961039,0.0,0.9016393442622951,0.3181818181818182,19.0,6.2105263157894735,2.0,4.2774887931034495,2.0170192307692307,5.21139534883721,2.614123711340206,0.15141270702554918,6.821130023283117,0.7627118644067796,118.0
18,5,0.056074766355140186,0.10747663551401869,0.0514018691588785,0.06775700934579439,0.02336448598130841,0.07476635514018691,0.007009345794392523,0.15654205607476634,0.004672897196261682,0.02336448598130841,0.0911214953271028,0.06542056074766354,0.16822429906542055,0.009345794392523364,0.0,0.0,0.09345794392523364,0.0,0.8742857142857143,0.3411214953271028,39.0,8.871794871794872,10.0,4.482563880597015,2.1137261146496815,5.237216117216117,2.5275,0.19455524949470954,4.467367445981061,0.5994236311239193,347.0
